  0.0000000e+000  0.0000000e+000
  5.0977000e-002  1.5393825e-004
  1.0195400e-001  3.0752882e-004
  1.5293100e-001  4.6015534e-004
  2.0390700e-001  6.1050659e-004
  2.5488400e-001  7.5688586e-004
  3.0586100e-001  8.9775129e-004
  3.5683800e-001  1.0322748e-003
  4.0781500e-001  1.1604438e-003
  4.5879200e-001  1.2829635e-003
  5.0976800e-001  1.4008826e-003
  5.6074500e-001  1.5155442e-003
  6.1172200e-001  1.6284997e-003
  6.6269900e-001  1.7414481e-003
  7.1367600e-001  1.8557056e-003
  7.6465300e-001  1.9714388e-003
  8.1562900e-001  2.0871975e-003
  8.6660600e-001  2.2000358e-003
  9.1758300e-001  2.3066074e-003
  9.6856000e-001  2.4045495e-003
  1.0195370e+000  2.4934816e-003
  1.0705140e+000  2.5751249e-003
  1.1214910e+000  2.6520144e-003
  1.1724670e+000  2.7258903e-003
  1.2234440e+000  2.7965858e-003
  1.2744210e+000  2.8618889e-003
  1.3253980e+000  2.9188401e-003
  1.3763750e+000  2.9656215e-003
  1.4273520e+000  3.0026267e-003
  1.4783280e+000  3.0324000e-003
  1.5293050e+000  3.0585480e-003
  1.5802820e+000  3.0846047e-003
  1.6312590e+000  3.1137389e-003
  1.6822360e+000  3.1491731e-003
  1.7332130e+000  3.1941417e-003
  1.7841890e+000  3.2513318e-003
  1.8351660e+000  3.3216558e-003
  1.8861430e+000  3.4032504e-003
  1.9371200e+000  3.4910029e-003
  1.9880970e+000  3.5780282e-003
  2.0390740e+000  3.6573596e-003
  2.0900510e+000  3.7241061e-003
  2.1410270e+000  3.7768733e-003
  2.1920040e+000  3.8178691e-003
  2.2429810e+000  3.8515109e-003
  2.2939580e+000  3.8818594e-003
  2.3449350e+000  3.9104352e-003
  2.3959120e+000  3.9358355e-003
  2.4468880e+000  3.9544338e-003
  2.4978650e+000  3.9625599e-003
  2.5488420e+000  3.9583797e-003
  2.5998190e+000  3.9423512e-003
  2.6507960e+000  3.9166916e-003
  2.7017730e+000  3.8842459e-003
  2.7527490e+000  3.8478258e-003
  2.8037260e+000  3.8104573e-003
  2.8547030e+000  3.7753712e-003
