Nr. of detectors, Nr. of user table parameter
1010    0
Det.no  Delta    Len2   Code     2theta
186      0.0    1.0115    1     158.753
187      0.0    1.0041    1     158.451
188      0.0    1.0041    1     158.451
189      0.0    1.0115    1     158.149
190      0.0    1.0115    1     158.149
191      0.0    1.0041    1     157.848
192      0.0    1.0041    1     157.848
193      0.0    1.0115    1     157.546
194      0.0    1.0115    1     157.546
195      0.0    1.0041    1     157.244
196      0.0    1.0041    1     157.244
197      0.0    1.0115    1     156.942
198      0.0    1.0115    1     156.942
199      0.0    1.0041    1     156.640
200      0.0    1.0041    1     156.640
201      0.0    1.0115    1     156.338
202      0.0    1.0115    1     156.338
203      0.0    1.0041    1     156.037
204      0.0    1.0041    1     156.037
205      0.0    1.0115    1     155.735
206      0.0    1.0115    1     155.735
207      0.0    1.0041    1     155.433
208      0.0    1.0041    1     155.433
209      0.0    1.0115    1     155.131
210      0.0    1.0115    1     155.131
211      0.0    1.0041    1     154.829
212      0.0    1.0041    1     154.829
213      0.0    1.0115    1     154.527
214      0.0    1.0115    1     154.527
215      0.0    1.0041    1     154.226
216      0.0    1.0041    1     154.226
217      0.0    1.0115    1     153.924
218      0.0    1.0115    1     153.924
219      0.0    1.0041    1     153.622
220      0.0    1.0041    1     153.622
221      0.0    1.0115    1     153.320
222      0.0    1.0115    1     153.320
223      0.0    1.0041    1     153.018
224      0.0    1.0041    1     153.018
225      0.0    1.0115    1     152.717
226      0.0    1.0115    1     152.717
227      0.0    1.0041    1     152.415
228      0.0    1.0041    1     152.415
229      0.0    1.0115    1     152.113
230      0.0    1.0115    1     152.113
231      0.0    1.0041    1     151.811
232      0.0    1.0041    1     151.811
233      0.0    1.0115    1     151.509
234      0.0    1.0115    1     151.509
235      0.0    1.0041    1     151.207
236      0.0    1.0041    1     151.207
237      0.0    1.0115    1     150.906
238      0.0    1.0115    1     150.906
239      0.0    1.0041    1     150.604
240      0.0    1.0041    1     150.604
241      0.0    1.0115    1     150.302
242      0.0    1.0115    1     150.302
243      0.0    1.0415    1     171.128
244      0.0    1.0341    1     170.826
245      0.0    1.0415    1     170.525
246      0.0    1.0341    1     170.223
247      0.0    1.0415    1     169.921
248      0.0    1.0341    1     169.619
249      0.0    1.0415    1     169.317
250      0.0    1.0341    1     169.015
251      0.0    1.0415    1     168.714
252      0.0    1.0341    1     168.412
253      0.0    1.0415    1     168.110
254      0.0    1.0341    1     167.808
255      0.0    1.0415    1     167.506
256      0.0    1.0341    1     167.204
257      0.0    1.0415    1     166.903
258      0.0    1.0341    1     166.601
259      0.0    1.0415    1     166.299
260      0.0    1.0341    1     165.997
261      0.0    1.0415    1     165.695
262      0.0    1.0341    1     165.393
263      0.0    1.0341    1     165.092
264      0.0    1.0341    1     165.092
265      0.0    1.0415    1     164.790
266      0.0    1.0415    1     164.790
267      0.0    1.0341    1     164.488
268      0.0    1.0341    1     164.488
269      0.0    1.0415    1     164.186
270      0.0    1.0415    1     164.186
271      0.0    1.0341    1     163.884
272      0.0    1.0341    1     163.884
273      0.0    1.0415    1     163.582
274      0.0    1.0415    1     163.582
275      0.0    1.0341    1     163.281
276      0.0    1.0341    1     163.281
277      0.0    1.0415    1     162.979
278      0.0    1.0415    1     162.979
279      0.0    1.0341    1     162.677
280      0.0    1.0341    1     162.677
281      0.0    1.0415    1     162.375
282      0.0    1.0415    1     162.375
283      0.0    1.0341    1     162.073
284      0.0    1.0341    1     162.073
285      0.0    1.0415    1     161.771
286      0.0    1.0415    1     161.771
287      0.0    1.0341    1     161.470
288      0.0    1.0341    1     161.470
289      0.0    1.0415    1     161.168
290      0.0    1.0415    1     161.168
291      0.0    1.0341    1     160.866
292      0.0    1.0341    1     160.866
293      0.0    1.0415    1     160.564
294      0.0    1.0415    1     160.564
295      0.0    1.0341    1     160.262
296      0.0    1.0341    1     160.262
297      0.0    1.0415    1     159.960
298      0.0    1.0415    1     159.960
299      0.0    1.0341    1     159.659
300      0.0    1.0341    1     159.659
301      0.0    1.0415    1     159.357
302      0.0    1.0415    1     159.357
303      0.0    1.0341    1     159.055
304      0.0    1.0341    1     159.055
305      0.0    1.0415    1     158.753
306      0.0    1.0415    1     158.753
307      0.0    1.0341    1     158.451
308      0.0    1.0341    1     158.451
309      0.0    1.0415    1     158.149
310      0.0    1.0415    1     158.149
311      0.0    1.0341    1     157.848
312      0.0    1.0341    1     157.848
313      0.0    1.0415    1     157.546
314      0.0    1.0415    1     157.546
315      0.0    1.0341    1     157.244
316      0.0    1.0341    1     157.244
317      0.0    1.0415    1     156.942
318      0.0    1.0415    1     156.942
319      0.0    1.0341    1     156.640
320      0.0    1.0341    1     156.640
321      0.0    1.0415    1     156.338
322      0.0    1.0415    1     156.338
323      0.0    1.0341    1     156.037
324      0.0    1.0341    1     156.037
325      0.0    1.0415    1     155.735
326      0.0    1.0415    1     155.735
327      0.0    1.0341    1     155.433
328      0.0    1.0341    1     155.433
329      0.0    1.0415    1     155.131
330      0.0    1.0415    1     155.131
331      0.0    1.0341    1     154.829
332      0.0    1.0341    1     154.829
333      0.0    1.0415    1     154.527
334      0.0    1.0415    1     154.527
335      0.0    1.0341    1     154.226
336      0.0    1.0341    1     154.226
337      0.0    1.0415    1     153.924
338      0.0    1.0415    1     153.924
339      0.0    1.0341    1     153.622
340      0.0    1.0341    1     153.622
341      0.0    1.0415    1     153.320
342      0.0    1.0415    1     153.320
343      0.0    1.0341    1     153.018
344      0.0    1.0341    1     153.018
345      0.0    1.0415    1     152.717
346      0.0    1.0415    1     152.717
347      0.0    1.0341    1     152.415
348      0.0    1.0341    1     152.415
349      0.0    1.0415    1     152.113
350      0.0    1.0415    1     152.113
351      0.0    1.0341    1     151.811
352      0.0    1.0341    1     151.811
353      0.0    1.0415    1     151.509
354      0.0    1.0415    1     151.509
355      0.0    1.0341    1     151.207
356      0.0    1.0341    1     151.207
357      0.0    1.0415    1     150.906
358      0.0    1.0415    1     150.906
359      0.0    1.0341    1     150.604
360      0.0    1.0341    1     150.604
361      0.0    1.0415    1     150.302
362      0.0    1.0415    1     150.302
363      0.0    1.0115    1     171.128
364      0.0    1.0041    1     170.826
365      0.0    1.0115    1     170.525
366      0.0    1.0041    1     170.223
367      0.0    1.0115    1     169.921
368      0.0    1.0041    1     169.619
369      0.0    1.0115    1     169.317
370      0.0    1.0041    1     169.015
371      0.0    1.0115    1     168.714
372      0.0    1.0041    1     168.412
373      0.0    1.0115    1     168.110
374      0.0    1.0041    1     167.808
375      0.0    1.0115    1     167.506
376      0.0    1.0041    1     167.204
377      0.0    1.0115    1     166.903
378      0.0    1.0041    1     166.601
379      0.0    1.0115    1     166.299
380      0.0    1.0041    1     165.997
381      0.0    1.0115    1     165.695
382      0.0    1.0041    1     165.393
383      0.0    1.0041    1     165.092
384      0.0    1.0041    1     165.092
385      0.0    1.0115    1     164.790
386      0.0    1.0115    1     164.790
387      0.0    1.0041    1     164.488
388      0.0    1.0041    1     164.488
389      0.0    1.0115    1     164.186
390      0.0    1.0115    1     164.186
391      0.0    1.0041    1     163.884
392      0.0    1.0041    1     163.884
393      0.0    1.0115    1     163.582
394      0.0    1.0115    1     163.582
395      0.0    1.0041    1     163.281
396      0.0    1.0041    1     163.281
397      0.0    1.0115    1     162.979
398      0.0    1.0115    1     162.979
399      0.0    1.0041    1     162.677
400      0.0    1.0041    1     162.677
401      0.0    1.0115    1     162.375
402      0.0    1.0115    1     162.375
403      0.0    1.0041    1     162.073
404      0.0    1.0041    1     162.073
405      0.0    1.0115    1     161.771
406      0.0    1.0115    1     161.771
407      0.0    1.0041    1     161.470
408      0.0    1.0041    1     161.470
409      0.0    1.0115    1     161.168
410      0.0    1.0115    1     161.168
411      0.0    1.0041    1     160.866
412      0.0    1.0041    1     160.866
413      0.0    1.0115    1     160.564
414      0.0    1.0115    1     160.564
415      0.0    1.0041    1     160.262
416      0.0    1.0041    1     160.262
417      0.0    1.0115    1     159.960
418      0.0    1.0115    1     159.960
419      0.0    1.0041    1     159.659
420      0.0    1.0041    1     159.659
421      0.0    1.0115    1     159.357
422      0.0    1.0115    1     159.357
423      0.0    1.0041    1     159.055
424      0.0    1.0041    1     159.055
425      0.0    1.0115    1     158.753
426      0.0    1.0115    1     158.753
427      0.0    1.0041    1     158.451
428      0.0    1.0041    1     158.451
429      0.0    1.0115    1     158.149
430      0.0    1.0115    1     158.149
431      0.0    1.0041    1     157.848
432      0.0    1.0041    1     157.848
433      0.0    1.0115    1     157.546
434      0.0    1.0115    1     157.546
435      0.0    1.0041    1     157.244
436      0.0    1.0041    1     157.244
437      0.0    1.0115    1     156.942
438      0.0    1.0115    1     156.942
439      0.0    1.0041    1     156.640
440      0.0    1.0041    1     156.640
441      0.0    1.0115    1     156.338
442      0.0    1.0115    1     156.338
443      0.0    1.0041    1     156.037
444      0.0    1.0041    1     156.037
445      0.0    1.0115    1     155.735
446      0.0    1.0115    1     155.735
447      0.0    1.0041    1     155.433
448      0.0    1.0041    1     155.433
449      0.0    1.0115    1     155.131
450      0.0    1.0115    1     155.131
451      0.0    1.0041    1     154.829
452      0.0    1.0041    1     154.829
453      0.0    1.0115    1     154.527
454      0.0    1.0115    1     154.527
455      0.0    1.0041    1     154.226
456      0.0    1.0041    1     154.226
457      0.0    1.0115    1     153.924
458      0.0    1.0115    1     153.924
459      0.0    1.0041    1     153.622
460      0.0    1.0041    1     153.622
461      0.0    1.0115    1     153.320
462      0.0    1.0115    1     153.320
463      0.0    1.0041    1     153.018
464      0.0    1.0041    1     153.018
465      0.0    1.0115    1     152.717
466      0.0    1.0115    1     152.717
467      0.0    1.0041    1     152.415
468      0.0    1.0041    1     152.415
469      0.0    1.0115    1     152.113
470      0.0    1.0115    1     152.113
471      0.0    1.0041    1     151.811
472      0.0    1.0041    1     151.811
473      0.0    1.0115    1     151.509
474      0.0    1.0115    1     151.509
475      0.0    1.0041    1     151.207
476      0.0    1.0041    1     151.207
477      0.0    1.0115    1     150.906
478      0.0    1.0115    1     150.906
479      0.0    1.0041    1     150.604
480      0.0    1.0041    1     150.604
481      0.0    1.0115    1     150.302
482      0.0    1.0115    1     150.302
483      0.0    1.0115    1     171.128
484      0.0    1.0041    1     170.826
485      0.0    1.0115    1     170.525
486      0.0    1.0041    1     170.223
487      0.0    1.0115    1     169.921
488      0.0    1.0041    1     169.619
489      0.0    1.0115    1     169.317
490      0.0    1.0041    1     169.015
491      0.0    1.0115    1     168.714
492      0.0    1.0041    1     168.412
493      0.0    1.0115    1     168.110
494      0.0    1.0041    1     167.808
495      0.0    1.0115    1     167.506
496      0.0    1.0041    1     167.204
497      0.0    1.0115    1     166.903
498      0.0    1.0041    1     166.601
499      0.0    1.0115    1     166.299
500      0.0    1.0041    1     165.997
501      0.0    1.0115    1     165.695
502      0.0    1.0041    1     165.393
503      0.0    1.0041    1     165.092
504      0.0    1.0041    1     165.092
505      0.0    1.0115    1     164.790
506      0.0    1.0115    1     164.790
507      0.0    1.0041    1     164.488
508      0.0    1.0041    1     164.488
509      0.0    1.0115    1     164.186
510      0.0    1.0115    1     164.186
511      0.0    1.0041    1     163.884
512      0.0    1.0041    1     163.884
513      0.0    1.0115    1     163.582
514      0.0    1.0115    1     163.582
515      0.0    1.0041    1     163.281
516      0.0    1.0041    1     163.281
517      0.0    1.0115    1     162.979
518      0.0    1.0115    1     162.979
519      0.0    1.0041    1     162.677
520      0.0    1.0041    1     162.677
521      0.0    1.0115    1     162.375
522      0.0    1.0115    1     162.375
523      0.0    1.0041    1     162.073
524      0.0    1.0041    1     162.073
525      0.0    1.0115    1     161.771
526      0.0    1.0115    1     161.771
527      0.0    1.0041    1     161.470
528      0.0    1.0041    1     161.470
529      0.0    1.0115    1     161.168
530      0.0    1.0115    1     161.168
531      0.0    1.0041    1     160.866
532      0.0    1.0041    1     160.866
533      0.0    1.0115    1     160.564
534      0.0    1.0115    1     160.564
535      0.0    1.0041    1     160.262
536      0.0    1.0041    1     160.262
537      0.0    1.0115    1     159.960
538      0.0    1.0115    1     159.960
539      0.0    1.0041    1     159.659
540      0.0    1.0041    1     159.659
541      0.0    1.0115    1     159.357
542      0.0    1.0115    1     159.357
543      0.0    1.0041    1     159.055
544      0.0    1.0041    1     159.055
545      0.0    1.0115    1     158.753
546      0.0    1.0115    1     158.753
547      0.0    1.0041    1     158.451
548      0.0    1.0041    1     158.451
549      0.0    1.0115    1     158.149
550      0.0    1.0115    1     158.149
551      0.0    1.0041    1     157.848
552      0.0    1.0041    1     157.848
553      0.0    1.0115    1     157.546
554      0.0    1.0115    1     157.546
555      0.0    1.0041    1     157.244
556      0.0    1.0041    1     157.244
557      0.0    1.0115    1     156.942
558      0.0    1.0115    1     156.942
559      0.0    1.0041    1     156.640
560      0.0    1.0041    1     156.640
561      0.0    1.0115    1     156.338
562      0.0    1.0115    1     156.338
563      0.0    1.0041    1     156.037
564      0.0    1.0041    1     156.037
565      0.0    1.0115    1     155.735
566      0.0    1.0115    1     155.735
567      0.0    1.0041    1     155.433
568      0.0    1.0041    1     155.433
569      0.0    1.0115    1     155.131
570      0.0    1.0115    1     155.131
571      0.0    1.0041    1     154.829
572      0.0    1.0041    1     154.829
573      0.0    1.0115    1     154.527
574      0.0    1.0115    1     154.527
575      0.0    1.0041    1     154.226
576      0.0    1.0041    1     154.226
577      0.0    1.0115    1     153.924
578      0.0    1.0115    1     153.924
579      0.0    1.0041    1     153.622
580      0.0    1.0041    1     153.622
581      0.0    1.0115    1     153.320
582      0.0    1.0115    1     153.320
583      0.0    1.0041    1     153.018
584      0.0    1.0041    1     153.018
585      0.0    1.0115    1     152.717
586      0.0    1.0115    1     152.717
587      0.0    1.0041    1     152.415
588      0.0    1.0041    1     152.415
589      0.0    1.0115    1     152.113
590      0.0    1.0115    1     152.113
591      0.0    1.0041    1     151.811
592      0.0    1.0041    1     151.811
593      0.0    1.0115    1     151.509
594      0.0    1.0115    1     151.509
595      0.0    1.0041    1     151.207
596      0.0    1.0041    1     151.207
597      0.0    1.0115    1     150.906
598      0.0    1.0115    1     150.906
599      0.0    1.0041    1     150.604
600      0.0    1.0041    1     150.604
601      0.0    1.0115    1     150.302
602      0.0    1.0115    1     150.302
603      0.0    1.0115    1     171.128
604      0.0    1.0041    1     170.826
605      0.0    1.0115    1     170.525
606      0.0    1.0041    1     170.223
607      0.0    1.0115    1     169.921
608      0.0    1.0041    1     169.619
609      0.0    1.0115    1     169.317
610      0.0    1.0041    1     169.015
611      0.0    1.0115    1     168.714
612      0.0    1.0041    1     168.412
613      0.0    1.0115    1     168.110
614      0.0    1.0041    1     167.808
615      0.0    1.0115    1     167.506
616      0.0    1.0041    1     167.204
617      0.0    1.0115    1     166.903
618      0.0    1.0041    1     166.601
619      0.0    1.0115    1     166.299
620      0.0    1.0041    1     165.997
621      0.0    1.0115    1     165.695
622      0.0    1.0041    1     165.393
623      0.0    1.0041    1     165.092
624      0.0    1.0041    1     165.092
625      0.0    1.0115    1     164.790
626      0.0    1.0115    1     164.790
627      0.0    1.0041    1     164.488
